Volt1; Volt2; Volt3; Volt4
V1: 7.78;V2: -4.68;V3: 13.42;V4: -17.83
V1: 7.78;V2: -4.68;V3: 13.42;V4: -17.83
V1: 7.78;V2: -4.68;V3: 13.42;V4: -17.83
V1: 7.78;V2: -4.68;V3: 13.42;V4: -17.83
V1: 7.78;V2: -4.68;V3: 13.42;V4: -17.83
V1: 7.78;V2: -4.68;V3: 13.42;V4: -17.83
V1: 7.78;V2: -4.68;V3: 13.42;V4: -17.83
V1: 7.78;V2: -4.68;V3: 13.42;V4: -17.83
V1: 7.78;V2: -4.68;V3: 13.42;V4: -17.83
V1: 7.78;V2: -4.68;V3: 13.42;V4: -17.83
V1: 7.78;V2: -4.68;V3: 13.42;V4: -17.83
V1: 7.78;V2: -4.68;V3: 13.42;V4: -17.83
V1: 7.78;V2: -4.68;V3: 13.42;V4: -17.83
V1: 7.78;V2: -4.68;V3: 13.42;V4: -17.83
V1: 4.54;V2: -4.68;V3: 13.42;V4: -17.83
V1: 4.54;V2: -4.68;V3: 13.42;V4: -17.83
V1: 4.54;V2: -4.68;V3: 13.42;V4: -17.83
V1: 4.54;V2: -4.68;V3: 13.42;V4: -17.83
V1: 4.54;V2: -4.68;V3: 13.42;V4: -17.83
V1: 4.54;V2: -4.68;V3: 13.42;V4: -17.83
V1: 4.54;V2: -4.68;V3: 13.42;V4: -17.83
V1: 4.54;V2: -4.68;V3: 13.42;V4: -17.83
V1: 4.54;V2: -4.68;V3: 13.42;V4: -17.83
V1: 4.54;V2: -4.68;V3: 13.42;V4: -17.83
V1: 4.54;V2: -4.68;V3: 13.42;V4: -17.83
V1: 4.54;V2: -4.68;V3: 13.42;V4: -17.83
V1: 4.54;V2: -11.58;V3: 13.42;V4: -17.83
V1: 4.54;V2: -11.58;V3: 13.42;V4: -17.83
V1: 4.54;V2: -11.58;V3: 13.42;V4: -17.83
V1: 4.54;V2: -11.58;V3: 13.42;V4: -17.83
V1: 4.54;V2: -11.58;V3: 13.42;V4: -17.83
V1: 4.54;V2: -11.58;V3: 13.42;V4: -17.83
V1: 4.54;V2: -11.58;V3: 13.42;V4: -17.83
V1: 4.54;V2: -11.58;V3: 13.42;V4: -17.83
V1: 4.54;V2: -11.58;V3: 13.42;V4: -17.83
V1: 4.54;V2: -11.58;V3: 13.42;V4: -17.83
V1: 4.54;V2: -11.58;V3: 13.42;V4: -17.83
V1: 4.54;V2: -11.58;V3: 13.42;V4: -17.83
V1: 4.54;V2: -11.58;V3: 6.51;V4: -17.83
V1: 4.54;V2: -11.58;V3: 6.51;V4: -17.83
V1: 4.54;V2: -11.58;V3: 6.51;V4: -17.83
V1: 4.54;V2: -11.58;V3: 6.51;V4: -17.83
V1: 4.54;V2: -11.58;V3: 6.51;V4: -17.83
V1: 4.54;V2: -11.58;V3: 6.51;V4: -17.83
V1: 4.54;V2: -11.58;V3: 6.51;V4: -17.83
V1: 4.54;V2: -11.58;V3: 6.51;V4: -17.83
V1: 4.54;V2: -11.58;V3: 6.51;V4: -17.83
V1: 4.54;V2: -11.58;V3: 6.51;V4: -17.83
V1: 4.54;V2: -11.58;V3: 6.51;V4: -17.83
V1: 4.54;V2: -11.58;V3: 6.51;V4: -17.83
